,name,symbol,score,level
227,Chromia,CHR,50.42,B
228,Centrifuge,CFG,50.37,B
229,SPACE ID,ID,50.35,B
230,Akash Network,AKT,50.24,B
231,iExec,RLC,50.22,B
232,NuCypher,NU,50.19,B
233,VVS Finance,VVS,50.12,B
234,Marinade Staked SOL,mSOL,50.00,B
235,Agoric,BLD,49.93,B
236,FirmaChain,FCT,49.88,B
237,My Neighbor Alice,ALICE,49.87,B
238,Camelot Token,GRAIL,49.68,B
239,OKC,OKT,49.42,B
240,Hooked Protocol,HOOK,49.28,B
241,RSK Infrastructure Framework,RIF,49.26,B
242,Radio Caca,RACA,49.05,B
243,MOBOX,MBOX,49.05,B
244,NYM,NYM,49.01,B
245,StakeWise,SWISE,48.95,B
246,Polymath,POLY,48.69,B
247,Stargaze,STARS,48.51,B
248,sETH2,SETH2,48.50,B
249,X2Y2,X2Y2,48.45,B
250,Sudoswap,SUDO,48.26,B
251,Gearbox Protocol,GEAR,48.24,B
252,Bitcoin SV,BSV,48.16,B
253,Stella (previously Alpha Venture DAO),ALPHA,48.04,B
254,WhiteBIT Token,WBT,48.03,B
255,Tether Gold,XAUT,47.99,B
256,Siacoin,SC,47.97,B
257,Everscale,EVER,47.84,B
258,Carry,CRE,47.77,B
259,Lisk,LSK,47.61,B
260,Vela Token,VELA,47.47,CCC
261,Convex CRV,cvxCRV,47.27,CCC
262,Function X,FX,47.21,CCC
263,Alethea AI,ALI,46.98,CCC
264,Tokamak Network,TON,46.94,CCC
265,Numerai,NMR,46.88,CCC
266,Steem,STEEM,46.86,CCC
267,Kujira,KUJI,46.85,CCC
268,IQ.wiki,IQ,46.84,CCC
269,Smooth Love Potion,SLP,46.73,CCC
270,Dusk,DUSK,46.69,CCC
271,WEMIX,WEMIX,46.31,CCC
272,Venus,XVS,46.28,CCC
273,Terra,LUNA,46.20,CCC
274,Polymesh,POLYX,46.19,CCC
275,QiDao,QI,46.16,CCC
276,ApolloX,APX,46.13,CCC
277,Bifrost ,BFC,46.06,CCC
278,Mango Markets,MNGO,45.96,CCC
279,LUKSO,LYXE,45.94,CCC
280,Ethereum (Proof of Work),ETHW,45.87,CCC
281,Juno,JUNO,45.81,CCC
282,SuperRare,RARE,45.78,CCC
283,Amp,AMP,45.75,CCC
284,Berry,BERRY,45.75,CCC
285,Holo,HOT,45.64,CCC
286,Access Protocol,ACS,45.57,CCC
287,Hero Blaze: Three Kingdoms,MUDOL2,45.44,CCC
288,AMO,AMO,45.34,CCC
289,hiblocks,HIBS,45.26,CCC
290,CEEK VR,CEEK,45.25,CCC
291,Moonbeam,GLMR,45.11,CCC
292,OMG Network,OMG,45.08,CCC
293,Flamingo,FLM,45.03,CCC
294,Rally,RLY,44.82,CCC
295,AirCoin,AIR,44.79,CCC
296,DoDream Chain,DRM,44.69,CCC
297,LEMONCHAIN,LEMC,44.62,CCC
298,Delysium,AGI,44.49,CCC
299,Dfyn Network,DFYN,44.44,CCC
300,Mycelium,MYC,44.36,CCC
301,PlayDapp,PLA,44.34,CCC
302,Orbs Network,ORBS,44.33,CCC
303,Tokenize Xchange,TKX,44.32,CCC
304,fanC,FANC,44.26,CCC
305,STASIS EURO,EURS,44.13,CCC
306,MXC,MXC,44.11,CCC
307,Euler,EUL,44.08,CCC
308,Selfkey,KEY,43.94,CCC
309,Constellation Network,DAG,43.90,CCC
310,Tenset,10SET,43.89,CCC
311,Gains Farm,GFARM2,43.89,CCC
312,Celsius,CEL,43.76,CCC
313,Marblex,MBX,43.30,CCC
314,NEM,XEM,43.25,CCC
315,Voyager Token,VGX,43.23,CCC
316,Cortex,CTXC,43.22,CCC
317,WINkLink,WIN,43.17,CCC
318,ESG Financial,ESG,43.03,CCC
319,Songbird,SGB,42.98,CCC
320,Dent,DENT,42.96,CCC
321,Hillstone Finance,HSF,42.81,CCC
322,BaaSid,BAAS,42.78,CCC
323,Magic Internet Money,MIM,42.58,CCC
324,Bytecoin,BCN,42.46,CCC
325,LABEL Foundation,LBL,42.02,CCC
326,PROM,PROM,41.96,CCC
327,Cloudbric,CLBK,41.93,CCC
328,ONSTON,ONSTON,41.84,CCC
329,CherrySwap,CHE,41.77,CCC
330,Pando,PANDO,41.55,CCC
331,CarrieVerse,CVTX,41.39,CCC
332,tomiNet,TOMI,41.35,CCC
333,Mintway,MINTI,41.19,CCC
334,Maiar Dex,MEX,41.06,CC
335,Kaspa,KAS,40.90,CC
336,ProjectWITH ,WIKEN,40.89,CC
337,FINSCHIA,FNSA,40.81,CC
338,Alex,ALEX,40.78,CC
339,TomTomCoin,TOMS,40.34,CC
340,NKCL Classic,NKCLC,40.20,CC
341,APENFT,NFT,40.19,CC
342,Bitcoin Gold,BTG,40.10,CC
343,DeXe,DEXE,39.72,CC
344,Fautor,FDM,39.59,CC
345,Sologenic,SOLO,39.49,CC
346,SOBA Token,SOBA,39.44,CC
347,INVITREE,INVI,39.29,CC
348,DAYSTARTER,DST,38.98,CC
349,CryptoGPT,GPT,38.03,CC
350,MeetPle,MPT,37.55,CC
351,Stackswap,STSW,37.41,CC
352,REBorn [NEW],RB,37.34,CC
353,CashZone,CASHZ,37.14,CC
354,APIS,APIX,36.21,CC
355,RUSH COIN,RUSH,36.11,CC
356,ADPlug,ADMON,36.11,CC
357,Alchemix USD,ALUSD,35.92,CC
358,CouponBay,CUP,35.73,CC
359,Pi Network,PI,35.70,CC
360,inSure DeFi,SURE,35.66,C
361,Global Digital Content,GDC,35.46,C
362,CELEBPLUS,CELEB,35.43,C
363,ReapChain,REAP,35.32,C
364,Front Row,FRR,35.09,C
365,Mint Marble,MIM,34.93,C
366,Moreal,MOR,34.58,C
367,Orbler,ORBR,34.57,C
368,Erugo World Coin,EWC,34.55,C
369,redi,REDI,34.37,C
370,Herbee,BEE,34.07,C
371,MY Ceremonial Event,MYCE,34.00,C
372,U:NIUM,UNM,33.89,C
373,Export Mortos Platform,EMP,33.70,C
374,Saltmarble,SML,33.67,C
375,Terra Luna Classic,LUNC,33.47,C
376,Btrips,BTR,32.98,C
377,Serum,SRM,32.96,C
378,Cojam,CT,32.84,C
379,Donnie Finance,DON,31.26,C
380,Ledgis,LED,30.65,C
381,TerraClassicUSD,USTC,29.79,D
382,METANOA,NOA,28.89,D
383,ASTA,ASTA,28.79,D
384,Natural Farm Union Protocol,NFUP,27.26,D
385,Got Guaranteed,GOTG,24.54,D
386,FTX Token,FTT,23.91,D
387,Tribe,TRIBE,12.56,D
388,FEI Protocol,FEI,12.52,D
389,HUSD,HUSD,8.60,D
